Collision altitude [m],#Fragments [-],T_0 [days],SC Altitude Offset [m],Target Fraction [-],FoV [deg],Range [m],Incidence Angle [deg],Ablation Time [s],Scan Time [s],Cooldown Time [s],Fluence [J/m^2],Removal Altitude [m],Time Required [days],Fraction removed [-]
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,85.0,5.0,70.0,8500.0,340000.0,724.9997685185185,0.4810099172837902
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,65.0,5.0,70.0,8500.0,340000.0,629.8258101851852,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,55.0,5.0,70.0,8500.0,340000.0,327.6085648148148,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,30.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.48508076739855355
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,25.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.45792733099475985
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,265000.0,20.0,90.0,5.0,70.0,8500.0,340000.0,724.999537037037,0.46897059460395824
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,265000.0,20.0,85.0,5.0,70.0,8500.0,340000.0,724.9996527777778,0.4747737213633017
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,265000.0,20.0,80.0,5.0,70.0,8500.0,340000.0,724.9993055555556,0.48235243168333986
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,265000.0,20.0,77.5,5.0,70.0,8500.0,340000.0,724.999855324074,0.48391148066346196
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,265000.0,20.0,75.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.4879390238621108
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,265000.0,20.0,72.5,5.0,70.0,8500.0,340000.0,724.9993634259259,0.49110042873846954
